clean_text,sentiment,language
bought 12 solar power lights 1 did not bought 12 solar power lights 1 did not work from the start now no 2 is not working its no like ebay were you can contact the seller i won t be buy anything else from them i will stick to ebay at least they are helpful,negative,en
delivers consistently delivers consistently has the best selection and often the best prices,positive,en
amazon stole my 100 i closed my amazon account with 100 amazon gift card on it they refused to reactivate my amazon e gift card code telling me that i should not have closed my account in the first place it is a consequence of my action worst customer service ever,negative,en
not sure why amazon has such a low not sure why amazon has such a low rating but big fan here have been using amazon for many years and rarely ever have issues if there s ever an issue customer service is super on top of it,positive,en
sent me an item that had already been sent me an item that had already been opened and used by someone else but was labeled as new wasn t from marketplace then the replacement was marked as delivered but never arrived having to request a refund now,negative,en
closed my account closed my account i saw a documentary on netflix amazon along with many companies are selling counterfeit make up products from china these can be dangerous and harmful to skin,negative,en
customer service customer serviceprimary at amazon com1 206 922 0880 are both unreachable or led with robots which bring you nowhere bad company,negative,en
the only one u need when i need something amazon is the first place i go to then i search the web and 9 times outta ten its amazon ftw,positive,en
i would advise against engaging with an i would advise against engaging with an individual named jake within the customer service department my recent experience with him involved a significant display of frustration when attempting to locate information related to my order culminating in his abrupt termination of the phone conversation,negative,en
i booked electric blanket for a patient i booked electric blanket for a patient they delivered a damaged product i asked them to exchange the product on 5 jan the person came to collect on 9 jan at 8 50 pm all of a sudden but on that day we were in hospital so i requested the person to collect on 10 but no one came since then i am continuously requesting customer care to exchange but no one coming for exchange and on software they started displaying product delivered i tried to request customer care but they are simply showing their helplessness no one is bearing the responsibility,negative,en
rubbish nightmare getting refund review text not found,negative,en
amazon is a great choice for customers amazon is a great choice for customers looking for an online shopping experience that is both convenient and enjoyable the user experience on the site is simple and efficient with a comprehensive search function and an easy to navigate layout prices are competitive and there are plenty of options to choose from delivery is fast and customer service is reliable additionally amazon offers a variety of tools and services to help customers make the most of their shopping experience including helpful reviews answers to customer questions and idea lists overall amazon is a great choice for customers looking for a convenient and enjoyable shopping experience,positive,en
the ultimate shopping experience my first port of call when i need to purchase anything i am a prime customer which means that i get my stuff the following day including saturdays the additional cost for prime membership 50 is weel worth it for next day delivery,positive,en
i do 99 of shopping in ebay com and i do 99 of shopping in ebay com and amazon com i know i am protected if the seller tried to sell me bad stuff i got good quality of product all the time,positive,en
can not close account they keep can not close account they keep charging me,negative,en
insane company selling lies that makes discrimination and severe criminal activity as a result blood money has been made this company has been selling materials anti religious materials from a psychopathic actress which got over 700 death threats made against a religion and almost got some children killed and caused severe criminal activity and amazon com selling this psychopathic actresses lies imade blood money by helping this nutcase remini to incite a murder which is all www dot leahreminiaftermath dot com videos at leah s people video on disney and ae i basically spoke against this parasite of an actress who was lying with her idiot co host which those lies got a man murdered as a result of them selling lies to make blood money i was telling the truth and amazon agreed with her to have me forever banned from signing reviews and making reviews so to amazon and remini and her close supporters f you leah remini you are a c faced b,negative,en
charge for missing item return an item that arrived with no screen in the box and added a note explaining then was charged for said item was told i would be charged and 2 weeks later charged now out 113,negative,en
the logistic service of amazon is third the logistic service of amazon is third class i ordered my mobile i got it after 4 days from given delivery date customer care service is 3rd class,negative,en
absolutely worthless customer service absolutely worthless customer service i carefully checked online before registering and was told i could pay by bank transfer once registering it proved impossible to pay with anything but a credit card i wrote them explaining very well the problem i then received a standard reply asking me to elaborate there being nothing to add i replied to the mail and then received one saying i was not able to respond to the one i had received i thought amazon might be a good way to boost my sales but it already being a nightmare before even getting started i will not use amazon at all and not that they will lose any sleep over it they have now also lost me as a customer,negative,en
amazon is scamming the customer i was told today that my amazon account had been hacked red flagged because of attempted purchases out of texas and new mexico i live in arizona i was told to prove that i do live in arizona never mind the fact that amazon just shipped me 2 items this week to my home in arizona and all my personal info indicates i do live in az i was told i needed to go buy a 100 ebay card or walmart card i said i don t have the money to do that and why would i have to buy something like that for 100 the amazon manager called me a liar he said that i live in the united states and i don t have a 100 yes i was a liar i was in absolute shock amazon is horrible,negative,en
i received a phone call after a i received a phone call after a purchase i could not understand the person due to her heavy foreign accent after repeatedly asking her to repeat what she said i asked if i could speak to someone who spoke english with less of an accent i asked very nicely still she would not transfer me i finally had to say that i was hanging up i did want to speak to someone but to someone whom i understood i am not happy that the person spoke english with such a heavy accent we were unable to continue the conversation,negative,en
service and product is awesome review text not found,positive,en
moving on we ve been a customer for many years but now things have changed delivery dates and times are laughable you can t find customer service because of the horrible service i have discovered that walmart can get your order to you on time or even earlier,negative,en
amazon inhumane treatment ups in error returned my generator to amazon i received notice of delivery from ups had received shipment amazon won t return my generator amazon agrees they accepted delivery for a month i have spoken with numerous supervisors and when i push them for a determination as to the generators location they place me on hold until the phone goes dead clearly this is an internal policy to avoid responsibility i am a 78 year old widower with cancer i live alone and need the generator to insure that my home medical services work these are the most callus uncaring group of customer service representatives i ve ever met,negative,en
amazon keeps charging me for refunded amazon keeps charging me for refunded items that were already returned or resolved despite resolving these matters with them and receiving a refund they repeated the same issue months later i received an email from amazon months later stating they didn t receive the item that i returned and that they would charge my payment method if they didn t hear from me concerning this specific item my payment method was charged 57 15 an amazon supervisor informed me that they did receive the item and would refund the charge to my original payment method this has occurred repeatedly with supervisors and representatives stating that i shouldn t have received the emails i have filed complaints with my bank they informed me that this is a common practice with amazon affecting several other customers as well this situation needs to be addressed immediately and stopped,negative,en
poor customer service poor customer service i think it comes from india or pakistan when you ask to speak to someone in the usa they tell you they are in the usa lies spent over an hour on the phone trying to get info on changing my garage access code with amazon no luck constantly put on hold and when stumped they hang up on you so you have to start the process all over again if you ask to speak to someone on the next level up their customer service food chain they blow you off overall i couldn t get any answers have no idea where to go next other than closing my account,negative,en
samsung galaxy 24 turns into shampoo i ordered a samsung galaxy 24 phone on the 25th january the parcel arrived on the 29th january when i opened the box there was a bottle of shampoo and no phone i immediately contacted customer services who requested i send the shampoo back for a full refund of the phone the refund should have been processed today 14th february i have not received a refund amazon say i have to wait until the 2nd of march for a refund absolutely shocking customer service,negative,en
stay away from amazon everything from price to deliveryp to communication to customer service sucks at amazon,negative,en
