text,intent
Können Sie Produktdetails zu dieser Smartwatch senden?,sales_or_product_inquiry
Bitte teilen Sie Preis und Verfügbarkeit mit.,sales_or_product_inquiry
The package is lost according to tracking.,shipping_issue
"Kann ich Serviceunterstützung bekommen, weil meine Garantie noch gültig ist?",warranty_issue
Mein Login ist blockiert.,account_issue
"Everything works fine, thanks.",positive_feedback
Who should I talk to about this?,general_inquiry
"Das Gerät hatte eine Fehlfunktion, bevor die Garantie abgelaufen ist.",warranty_issue
Mein Paket fehlt nach dem Versand.,shipping_issue
Bitte helfen.,ambiguous
The device performance is poor.,technical_issue
Ich habe ein beschädigtes Produkt erhalten und möchte eine Rückerstattung.,refund_issue
Support needed.,ambiguous
"Bitte helfen Sie mir zu verstehen, was ich als Nächstes tun soll.",general_inquiry
Ist die Ryzen 7 Version verfügbar?,sales_or_product_inquiry
Die App ist eingefroren und unbrauchbar.,technical_issue
Can you tell me the price of Ryzen 5 laptops?.,sales_or_product_inquiry
I want to return this product because it is defective.,refund_issue
I want to buy another laptop for my office.,sales_or_product_inquiry
Nicht sicher.,ambiguous
My package has not arrived and tracking is not updating. Please assist.,shipping_issue
The device is not turning on. Please assist.,technical_issue
Etwas stimmt nicht.,ambiguous
My product has a manufacturing defect.,warranty_issue
My laptop is very slow and freezes often.,technical_issue
Welche Laptop-Spezifikationen sind verfügbar?,sales_or_product_inquiry
Support bitte.,ambiguous
Der Akku hat einen Ladefehler und das Produkt ist noch in der Garantie.,warranty_issue
"Tolles Produkt, alles funktioniert gut.",positive_feedback
My smartwatch has a hardware failure under warranty.,warranty_issue
Laptop Problem.,ambiguous
I want information about the newest laptop.,sales_or_product_inquiry
I see error code 502 when using the app.,technical_issue
"Kein Problem, ich wollte mich nur bedanken.",positive_feedback
Verkaufen Sie Kopfhörer mit Geräuschunterdrückung?,sales_or_product_inquiry
Ich möchte Informationen über einen Laptop mit Ryzen 5.,sales_or_product_inquiry
Tracking has not changed for five days. Please assist.,shipping_issue
The account recovery process failed.,account_issue
Können Sie mir den Preis für Ryzen 5 Laptops sagen?,sales_or_product_inquiry
I am very happy with the service.,positive_feedback
I think my account has been hacked. Please assist.,account_issue
Welche Modelle sind diesen Monat verfügbar?,sales_or_product_inquiry
Someone changed my account details without permission.,account_issue
Can someone contact me about my request?,general_inquiry
"Ich möchte dieses Produkt zurückgeben, weil es defekt ist.",refund_issue
Please share price and availability.,sales_or_product_inquiry
I love this product and wanted to say thanks.,positive_feedback
My parcel is missing after shipping.,shipping_issue
I have a question about your service.,general_inquiry
I need a refund for a defective item I received yesterday.,refund_issue
Please tell me who can help with my request.,general_inquiry
I get an error message during installation.,technical_issue
Help me. Please assist.,ambiguous
Laptop issue. Please assist.,ambiguous
Kann mich jemand beraten?,general_inquiry
The password reset email never arrived.,account_issue
Can I get service support because my warranty is still valid?,warranty_issue
"Es steht zugestellt, aber bei mir ist nichts angekommen.",shipping_issue
The product failed during the warranty period.,warranty_issue
Die Systemleistung ist extrem langsam.,technical_issue
Mir wurde falsch berechnet und ich möchte mein Geld zurück.,refund_issue
I want to check if this is covered by warranty.,warranty_issue
Can you explain the process?,general_inquiry
My keyboard stopped working suddenly.,technical_issue
"No issue, just wanted to thank you.",positive_feedback
Ich brauche Garantieunterstützung wegen eines Hardwarefehlers.,warranty_issue
Something happened.,ambiguous
Problem here. Please assist.,ambiguous
I want to buy another laptop for my office. Please assist.,sales_or_product_inquiry
Meine Lieferung ist wieder verspätet.,shipping_issue
"Great product, everything is working well.",positive_feedback
Jemand hat meine Kontodaten ohne Erlaubnis geändert.,account_issue
Der Akku meines Tablet entlädt sich sehr schnell.,technical_issue
Die Trackingnummer zeigt keine Informationen.,shipping_issue
The device stopped working while still covered by warranty.,warranty_issue
Der Bildschirm reagiert nicht.,technical_issue
I want refund support because the product arrived broken.,refund_issue
Not good.,ambiguous
"Kann Ihr Team mir sagen, was ich tun soll?",general_inquiry
Die Sendungsverfolgung hat sich seit fünf Tagen nicht geändert.,shipping_issue
The order is stuck in transit.,shipping_issue
Ich habe eine allgemeine Frage an das Support-Team.,general_inquiry
